StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Consent,Screening,Age,Role,Domain,Dashboard,Frequent_1,Experience_1,Goals,Uses,Explore,Role,Unsupported,Situation,Rely,Feature,Hypothesis,Insight,Externalized,Comfort_1,Initiative,Control,Concerns,Annotate,Theme,Suggest,Explore,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Consent Form for Participation in a Research Study

 

Principal Investigators:Dr. Carolina Nobre, Assistant Professor at University of Toronto 

Study Title: Understanding Sensemaking Barriers in Visualization Dashboards

Supported By: University of Toronto

 

WHAT IS THIS FORM?

This form is called a Consent Form. It will give you information about the study so you can make an informed decision about participation in this research. We encourage you to take some time to think this over and ask questions now and at any other time. If you decide to participate, you will be asked to sign this form and you will be given a copy for your records.
 

WHAT ARE SOME OF THE IMPORTANT ASPECTS OF THIS RESEARCH STUDY THAT I SHOULD BE AWARE OF?


	
	You can choose not to take part.
	
	
	You can agree to take part and later change your mind.
	
	
	Your decision will not be held against you.
	

 

WHY ARE WE DOING THIS RESEARCH STUDY?

This research aims to understand how individuals use data dashboards to make sense of information, the challenges they face, and how future dashboard systems can better support insight generation and reasoning.
 

WHO CAN PARTICIPATE IN THIS RESEARCH STUDY?

Any person who is at least 18 years of age and have experience with visualization dashboards may participate in this research study.
 

HOW MANY PEOPLE WILL PARTICIPATE?

We expect about 50 people will be in this research study.
 

WHAT WILL I BE ASKED TO DO AND HOW MUCH TIME WILL IT TAKE?


	The overall survey should takes around 30 mins and you will be paid in a rate of $16 per hour
    Answer questions about your background and experience using dashboards.
    Reflect on your goals, tasks, and challenges when interacting with dashboard tools.
    Optionally, provide feedback on ideas for new dashboard features involving AI or other enhancements.
  

WILL BEING IN THIS RESEARCH STUDY HELP ME IN ANY WAY? 

You are not likely to have any direct benefit from being in this research study. 
 

WHAT ARE MY RISKS OF BEING IN THIS RESEARCH STUDY? 

Your participation in this study does not involve any risks other than what you would encounter in daily life. The effects of participating should be comparable to those you would experience from viewing a computer monitor and using a keyboard. You may withdraw at any time.
 

HOW WILL MY PERSONAL INFORMATION BE PROTECTED? 

Efforts will be made to ensure the privacy and security of your personal information throughout the study. The Prolific platform is designed with thorough safeguards to protect participant data, and your information will be handled in accordance with their stringent privacy standards. 
Data Sharing: De-identified data from this study may be shared among research teams at the University of Toronto. Only individuals who require access for research purposes, such as members of the research team will review your study-related records. 


 

WHO CAN I TALK TO IF I HAVE QUESTIONS?

If you have questions about this project or if you have a research-related problem, you may contact the Principal Investigator, Dr. Carolina Nobre, at cnobre@cs.toronto.edu. 

For questions about your rights as a research participant, you may contact the Human Research Ethics Unit at ethics.review@utoronto.ca or 416-946-3273.

 

WHAT HAPPENS IF I SAY YES, BUT I CHANGE MY MIND LATER?

You can decide not to participate in this research or you can start and then decide to leave the research at any time and it will not be held against you. To do so, simply exit the experiment.  Any data already collected will not be saved.

 

By clicking “I consent” below you are indicating that you are at least 18 years old, have read this consent form, and agree to participate in this research study with these additional collection methods. However, as with all aspects of this study, participation is entirely voluntary and you may opt out of these particular activities if you choose to. Please print a copy of this page for your records.","Have you used data visualization dashboards (e.g., Tableau, Power BI, Looker, custom dashboards) as part of your work or study?",What is your age?,What is your current role or job title?,Which domain or industry do you primarily work/study in?,"What dashboard tools do you use most frequently? (e.g., Tableau, Power BI)","How frequently do you use dashboards in your work? (1=Rarely, 5=Daily) - Frequency with dashboards","How would you rate your experience using visualization dashboards? (1=Novice, 5=Expert) - Experience with dashboards","What are your primary goals when using dashboards? (e.g., monitoring, exploration, decision-making)",What types of questions do you typically try to answer using dashboards?,How often are your dashboard tasks exploratory (finding patterns) vs. explanatory (to communicate the findings)?,"In your view, what is the role of a dashboard in helping you achieve your goals?",What dashboard tasks do you find difficult or unsupported by current tools?,Have you ever felt 'stuck' or 'lost' while exploring a dashboard? Please describe the situation.,"Which dashboard features do you rely on most (e.g., filters, dropdowns, charts)?",Is there a feature you wish dashboards had to support your workflow better?,Do you ever form hypotheses while using a dashboard? Please give an example.,Do you think it's important to annotate or validate the insights you gain? Why or why not?,"Do you externalize your thinking (e.g., by taking notes, screenshots)? How and why?","How comfortable would you feel using a dashboard that integrates AI to suggest next steps or summarize insights? (1=Very uncomfortable, 5=Very comfortable) - Comfortable with AI Generated Insights","When would you want an AI to take initiative (e.g., generate dashboards), and when would you want to guide it yourself?",How much control would you want over the AI’s actions? Would you want explanations for its suggestions?,What concerns would you have about AI making assumptions during your analysis?,Imagine you could annotate charts directly with thoughts or questions. How would that affect your workflow?,"If you could group dashboard views and tag them with themes, how would that help your analysis?",How helpful would it be if the system suggested next steps or comparisons based on your current view?,What features do you wish dashboard tools had to better support exploration and insight-making?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Toronto""}","{""ImportId"":""endDate"",""timeZone"":""America/Toronto""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Toronto""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID1""}","{""ImportId"":""QID29""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
2025-05-30 15:50:21,2025-05-30 16:16:16,IP Address,46.203.160.221,100,1554,True,2025-05-30 16:16:16,R_1GUEH2ertEBHL4B,,,,,39.0469,-77.4903,anonymous,EN,1,I consent,"Yes, regularly",31,Data scientist,"Information ",Power BI,4,4,"Monitoring key metrics and performance in real time
Exploration to identify trends or anomalies
Decision-making based on data-driven insights","What are the current trends or outliers in the data?
Where are performance gaps occurring?
Which areas require immediate attention or action?","About 70% exploratory (to uncover patterns, trends, issues)
About 30% explanatory (to summarize findings and communicate to stakeholders)

","They help translate complex data into actionable insights, enabling faster, more informed, and transparent decisions.","Combining multiple data sources, drilling down into granular data without clutter.","Yes, when chart labels were unclear and filters reset unexpectedly."," Filters, dropdowns, and time-series charts.",Natural language search or AI-driven insights to highlight anomalies automatically.,"Yes — e.g., if sales dip in Q2, I might hypothesize it's due to a marketing slowdown and check ad spend trends.","Yes, it ensures accuracy and provides context for others reviewing the data.","Yes, I take notes and screenshots to track thought processes, compare data over time, and share findings with the team.",3," For routine tasks like generating standard dashboards or surfacing anomalies automatically
When I’d guide it:
For deep analysis, hypothesis testing, or tailoring dashboards to specific business questions.","I’d want moderate control: approve or adjust AI actions.
Yes, clear explanations for suggestions are essential to trust and understand the logic.","Bias in data interpretation
Missing context or business nuances
Overconfidence in inaccurate insights","It would streamline my workflow by letting me capture insights, questions, and reasoning in context","It would organize my analysis by themes (e.g., “customer churn” or “Q3 performance”), making it easier to revisit and share focused insights.","Very helpful, especially for discovering blind spots or surfacing related metrics for deeper exploration.","AI-generated insights or pattern detection
Interactive “what-if” analysis
Version history for dashboard edits",682920615b1cb04b2a5053c6
2025-05-30 15:49:24,2025-05-30 16:25:15,IP Address,89.37.119.212,100,2150,True,2025-05-30 16:25:16,R_53eKmY7tLLMuUy5,,,,,40.7872,-74.3225,anonymous,EN,0.8999999761581421,I consent,"Yes, regularly",55,Doctor,Health,Power BI and Tableau,4,5,Monitoring and decision making.,"How many patients were admitted, discharged and transferred today?",Very often,"Informed decision making, resources accountability and performance monitoring","They struggle with real time data integration, lack extensive customization options, offering limited support for predictive analytics.",No,"Filters, Dropdowns, charts, graphs and KPIs",AI integration,"Yes I do
I noted a surge in the average length of stay in the surgical ward.   This prompted me to believe that delays in discharge  could be driving the issue, spurring more inquiry.","Yes, annotating and confirming findings is key.   Annotations give context, while validation guarantees data correctness, helping eliminate misinterpretations and incorrect conclusions.","Yes, I take notes and screenshots to record insights and monitor activities.   This helps with clarity, communication and follow-up.",5,"I want an AI to take initiative when producing simple dashboards of basic summaries to save me time.   But I want to direct it myself when the work demands greater insight, unique analysis or comprehending complicated aspects that only I can supply.","I want adequate control over the AI to change or overrule its actions as appropriate, ensuring it fits with my aims, but I also welcome it managing mundane jobs to save time.  Explanations for its proposals are vital because they help me grasp the reasons behind its recommendations, create trust and make better educated judgments.","I’d fear AI may make erroneous assumptions without complete context, leading to misleading insights and bad judgments, especially in complicated domains like healthcare.   Bias and lack of openness also bother me.","Directly annotating charts would improve my workflow by enabling me capture observations and queries in context, boosting collaboration and tracking without extra tools.","Grouping and labeling dashboard views by themes would help me rapidly identify relevant data, spot similarities among subjects and arrange my analysis more effectively.","It would be incredibly beneficial, since recommended next actions or comparisons might drive my study, find ideas I would overlook and make the process faster and more comprehensive.","I wish dashboard solutions offered more advanced AI-driven ideas for next actions, broader support for real-time data integration from different sources, smoother annotation and collaboration features, and more flexible, customizable visualizations to evaluate difficult data connections.",67e188720841b364cd463eaa
2025-05-30 15:50:41,2025-05-30 16:29:07,IP Address,74.79.201.89,100,2306,True,2025-05-30 16:29:08,R_3LcEg60KgXUlwrg,,,,,42.9301,-75.8527,anonymous,EN,1,I consent,"Yes, regularly",39,IT Manager,Software Development,"Power BI, Qlik, Metabase",4,4,"Data exploration, reporting and monitoring ","I usually try to get deeper information to improve analyzing data, customer performance, financial issues, etc.",I usually try to set a balance between two options because it is really important finding the best pattern to get an effective result.,Definitely I feel really comfortable about it because it improves my performance at workplace so I could get better results to get a positive integration between resources and workers.,Mainly I would think about integration with hardware or another tools.,I usually find some hard situations when I have to distribute data to get the best possible result.,Actually I feel comfortable by using charts and scorecards.,I would like to get a FAQ menu to get a fast support in case I get some issue.,"Yes, I usually try to set some hypotheses or changes to get deeper information about some cases for future. Mainly modifying data to predict financial goals.","Definitely, I have to validate every insight because it is helpful and necessary for me.","I always take notes about the insights because I could use them for future in case I need to create presentations. ",4,Actually I would feel happy if I could get both guides because I would control the best path for me according the data.,Simple and clear explanations are great for me.,Nothing at all if I have the chance to control the process on my way.,Definitely this feature could improve my performance and overall results.,I think it is a good idea because I could classify views in a different way.,It helps a lot because it offers a deeper idea about what we have to do.,Recommendations about next steps and exploration history.,5c8f2ac8d7ecab0018d529aa
2025-05-30 16:40:53,2025-05-30 17:31:07,IP Address,216.120.189.180,100,3014,True,2025-05-30 17:31:07,R_81HmXEl7a29argd,,,,,51.5081,-0.1278,anonymous,EN,0.8999999761581421,I consent,"Yes, regularly",25,"Support data analyst  ",Education/Research,Tableau,4,4,Communication/Decision-making,Comparative analysis/ Forecasting,Very often,"Effective communication ","Complex data preparation ","As a research assistant supporting the data analytics team, I remember a time I felt completely lost while exploring a complex Tableau dashboard. My supervisor had asked me to investigate a spike in energy consumption data, and at first, I thought it would be straightforward, just a few filters and charts. But the deeper I dug, the more confusing it became. Filters didn’t behave as expected, metrics contradicted each other, and hidden calculations made it nearly impossible to trace the logic. I kept clicking through sheets, trying to piece together what was really going on, and for a moment, I genuinely questioned whether I was missing something obvious. After stepping back and sketching out the flow myself, I finally uncovered the issue: a subtle filter was excluding some aspects of the data, which turned out to be the main cause of the spike. It was a frustrating but eye-opening experience.","The dashboard features I rely on most are filters and dropdowns, which help me narrow down the data by different attributes.","Yes, sometimes I wish dashboards had a built-in data linkage feature that shows exactly how a metric or visualization was calculated, including which filters, data sources, and calculations were applied. And maybe show a short overview of the metadata.","Some times I form hypotheses while using a dashboard, especially when I notice unexpected trends or anomalies. One time I was visualizing a dataset that shows house prices, from the way the visualization started I formulated a hypothesis of how the area code was influencing the price.","Yes, as this will build your analytical thinking and also experience of trying to read meanings from visualizations.",Sometimes. This gives me a better understanding of the dashboard and help me remember certain aspect of the work.,4,"The AI can take initiative when generating the dashboard, but I would like to be incharge when adding or manipulating the data or inputs.","Yes, will definitely want explanations for its suggestions and would also be more comfortable being mandated to be the human in the loop before any AI edited work goes out.","It's very concerning, but could be mitigated by having humans in the loop.",It would improve my thought flow.,It would improve my ability to communicate through dashboards.,This can be effective and make me work easier.,"I wish dashboard tools had better features for documentation. For example, a built-in tab where I could write notes, tag specific data points, or highlight trends directly on the dashboard would help capture insights as I discover them instead of having to document everything separately.",672ca2646b6c51429825766f
2025-05-31 15:44:49,2025-05-31 15:56:08,IP Address,107.10.217.217,100,678,True,2025-05-31 15:56:08,R_5JJUeK7Bwz3d58i,,,,,40.0992,-84.6298,anonymous,EN,1,I consent,"I haven’t used them a lot, but I understand how they work and read them when shared",67,Material Handler/Water Spider,Manufacturing,Power BI,1,2,Information gathering for decision making.,Trends and where situations stand,60/40 Finding/Reporting,"I used it in a previous profession but do not use them in me current job.  ","Providing raw data.  ","I did not know how to navigate the system and had to ask for assistance. We did not receive training and it was not intuitive.  ",Charts,"I have not used one in about 13 months so I do not recall.  ",None come to mind.,"Yes it is important to annotate.  It maintains the record in one place for later reference. ","I did not when I used them.  ",3,"I would prefer guiding the AI most of the time.  ","Absolutely.  I would want to understand its suggestions in case I did not agree or could build on the reasoning for an improvement.  ","My main concern would be whether the AI was working abstractly or basing the ideas on real world situations.  ","It would help by ""talking through"" the visuals of the charts.  ","I am not sure that tagging themes would help in the analysis.  ","It might help spark additional places to look.  ","Nothing comes to mind.  ",67a60aab3179b5e743db2a2b
2025-05-31 15:46:37,2025-05-31 16:04:27,IP Address,96.33.222.244,100,1069,True,2025-05-31 16:04:27,R_133ISV3M0JqKQIv,,,,,36.5491,-82.5584,anonymous,EN,0.800000011920929,I consent,"Yes, regularly",61,Retail Sales Rep,Grocery,Power Bi,5,4,"Looking at KPI's and determining focus of store call.  ",I look to find where the store stands on achieving it's KPI goal.,"They are often exploratory as I look to achieve goals.   Occasionally I look to explain finding or answer questions from superiors.  ","It gives me information at my fingertips to let me know what KPI's are needed to be met in a particular store.  ","Sometimes the filtering of items can be a bit difficult.  I would like the ability to pull some reports into excel.  ","I have not but I have had to reset my filters as I thought I was filtering correctly but getting the wrong information.  ","I rely on filters and dropdowns the most.  ",I like seeing the detail so anything that breaks down into detail by store and chain is great!,"I do sometimes form an opinion on my results and how the dashboard is computing my input.  ","It could be depending on the situation.  I don't currently do this.  We usually have conference calls and can ask this information.  ","When I think something is incorrect based on what i have entered and/or seen in store then I screenshot and send up to my supervisor.  ",3,I would want to work with it awhile and see if AI generates the same results that I do.,"I would want total control over AI's actions and be able to make changes as I see fit.  ","I would have concerns that they are interpreting the information correctly.  ","i think that could be challenging but it would also be good.  ","I think it would make it easier to follow.  ","I think it would be good.  It might be helpful to have the next step process sort of like a flow chart to stay on task.  ","I think tools are great but I wish they had more features to create a better workflow than currently.  I like the idea of graphs and charts and percentage comparisons.  ",666f3d1b12b81506cf77cfc0
2025-05-31 15:48:33,2025-05-31 16:05:20,IP Address,41.48.16.87,100,1007,True,2025-05-31 16:05:21,R_217VIkxN3y35eAu,,,,,-29,24,anonymous,EN,1,I consent,,27,"Data analyst ","Information technology ",Power BI,5,4,"My primary goals when using dashboards are typically monitoring key performance indicators and metrics in real-time, and using data insights to inform strategic decisions. This enables me to track progress, identify areas for improvement, and optimize processes.","I use dashboards to answer questions about current performance, trends, and areas for improvement, such as ""How are we doing?"", ""What's driving our results?"", and ""What can we do better?""","I'd say it's about 50/50. Half the time, I'm using dashboards to explore data, identify patterns, and uncover insights. The other half, I'm creating visualizations to communicate those findings and tell a story with the data.","A dashboard plays a crucial role in helping me achieve my goals by providing real-time insights, tracking key performance indicators, and enabling data-driven decision-making. It allows me to monitor progress, identify areas for improvement, and adjust strategies accordingly.","I find tasks that require advanced predictive analytics, complex data modeling, or integration of multiple data sources to be challenging with current dashboard tools. Additionally, tasks that require high levels of customization or storytelling with data can also be difficult to achieve with some tools.","Yeah, it happens! I've gotten stuck while exploring a dashboard when there's too much data, the visuals are unclear, or I'm not sure what I'm looking for. Usually, I try to regroup, clarify my question, or look at the data from a different angle.","I heavily rely on filters and drill-down capabilities to narrow down data, as well as interactive charts and visualizations to explore trends and patterns. Dropdowns and slicers are also super helpful for quickly changing parameters and seeing the impact on the data.","Yeah, I'd love to see more advanced storytelling features in dashboards, like interactive narratives or guided analysis paths. It'd be great if dashboards could also better integrate with other tools and platforms, like seamless connections to databases or machine learning models.","Totally! While using a dashboard, I often form hypotheses about trends or correlations in the data. For instance, I might notice a spike in sales during a certain quarter and hypothesize that it's due to seasonal demand or a successful marketing campaign.","Yes, annotating and validating insights is crucial! It helps to document the thought process, track changes, and ensure that insights are accurate and reliable. By validating findings, I can also build trust in the data and make more informed decisions.","I definitely externalize my thinking! I take notes and screenshots to capture key insights, observations, and hypotheses. This helps me to clarify my thoughts, track my progress, and revisit my analysis later. It's also useful for communicating findings to others and getting feedback.",4,"I'd want AI to take the lead on routine tasks, like generating standard reports or identifying obvious patterns. But for complex or high-stakes analysis, I'd want to guide the AI myself to ensure customization, transparency, and control.","I'd want a good amount of control over the AI's actions, especially for critical decisions. And yeah, explanations for its suggestions would be super helpful - I'd want to know why it's making certain recommendations or predictions so I can trust the insights.","My main concern would be that AI's assumptions might not align with the specific context or nuances of the problem, potentially leading to inaccurate or misleading insights. I'd want to ensure that the AI's assumptions are transparent and can be reviewed and adjusted as needed.","That'd be a game-changer! I could jot down notes, questions, or hypotheses directly on the chart, making it easier to track my thought process and revisit my analysis later. It'd streamline my workflow and help me communicate insights more effectively.","That'd be super helpful! Grouping related dashboard views and tagging them with themes would let me organize my analysis, spot patterns, and quickly revisit specific topics. It'd save me time and make it easier to communicate insights to others.","That'd be really helpful! Having the system suggest next steps or comparisons would give me ideas I might not have thought of, and save me time figuring out what to explore next. It'd be like having a data analysis co-pilot!","I'd love to see features like interactive storytelling, automated insight suggestions, advanced filtering, seamless integrations, collaboration tools, and AI-driven next-step suggestions in dashboard tools. That'd make exploration and insight-making way more efficient and effective!",67ab163856e65042c535504c
2025-05-31 15:45:35,2025-05-31 16:08:08,IP Address,75.57.113.169,100,1353,True,2025-05-31 16:08:09,R_1B4LzrPNmt5Oyx5,,,,,35.4868,-80.8601,anonymous,EN,0.30000001192092896,I consent,"Yes, occasionally",55,professor,education,Power BI & BI tools in Excel,2,3,exploration & ideation,Which variables are most closely correlated for future trend predictions?,75 exploratory & 25 explanatory,The dashboard is just one of several tools to visualize data.,"I think most features are supported, but the UI is often challenging or overly busy, or I don't use the feature frequently enough to quickly remember how to use it.","This happens regularly.  It's most common when I see someone else do something easily, and then I tried to do it at a later time but can't get the same results.",I use dropdowns and charts regularly.  The dropdowns tend to get longer with each version.  It gets harder and harder to find a desired feature.,"This feature might exist already, but I'd like clearer tools for finding transformations that I use frequently.","I would think that everyone would form hypotheses in exploratory uses of data sets.  You look to see if one set has a strong correlation, and then you use other data sets to test whether the correlation holds more broadly.",Absolutely.  You need to keep track of what you have already tested and how you performed the test.,I tend to keep an open document to catalog my thought processes.  It's not very different from commenting code.  It's helpful for retracing steps later.,4,"I'm comfortable with AI, but I would not say I am proficient with AI in dashboards.  I like the idea of AI getting the ball rolling.  I've done this a bit but not much.",I want complete control over the AI.  The AI can suggest whatever it wants as long as I can say no.  I don't want having to sort through a number of visualizations that I never wanted because the AI had something work for someone else.,"I don't want the AI putting me in a box and then feeding canned suggestions for my data, which may be completely different.","This could be good, but I think I need a higher level way to sort my thought processes that just having notations on each chart.  This gets back to taking notes while generating visualizations.",I don't think this would be very helpful for me.,"I'm fine with suggestions (even welcome them), but I don't want the AI to take over.",I'd like a special tab that shows my go-to transformations.,67fab19f7213ecd93b1fd717
